mapping_id	subject_id	predicate_id	object_id	mapping_justification	confidence	xwkont_confidence_category	xwkont_relation_category	xwkont_status	comment	xwkont_provenance
xwkont:mapping:continuant-occurrent:001	BFO:continuant	skos:closeMatch	DOLCE:endurant	semapv:ManualMappingCuration	1.0	high	close-match	candidate	Both defined by the same temporal-persistence criterion (wholly present at each time of existence). Not `exact-equivalence-candidate` because the two sources' philosophical framing differs (realist vs. cognitive/linguistic per `note-002`), so full interchangeability across every context is not asserted.	xwkont:ref:bfo-2020, xwkont:ref:dolce-wonderweb-d18, xwkont:ref:borgo-galton-kutz-2022
xwkont:mapping:continuant-occurrent:002	BFO:occurrent	skos:closeMatch	DOLCE:perdurant	semapv:ManualMappingCuration	1.0	high	close-match	candidate	Same rationale as mapping-001, inverse pairing.	xwkont:ref:bfo-2020, xwkont:ref:dolce-wonderweb-d18, xwkont:ref:borgo-galton-kutz-2022
xwkont:mapping:continuant-occurrent:003	BFO:continuant	skos:closeMatch	UFO:endurant	semapv:ManualMappingCuration	1.0	high	close-match	candidate	UFO continues DOLCE's endurant/perdurant lineage using the same temporal-persistence criterion.	xwkont:ref:bfo-2020, xwkont:ref:ufo-2021
xwkont:mapping:continuant-occurrent:004	BFO:occurrent	skos:closeMatch	UFO:perdurant/event	semapv:ManualMappingCuration	1.0	high	close-match	candidate	Same rationale as mapping-003, inverse pairing.	xwkont:ref:bfo-2020, xwkont:ref:ufo-2021
xwkont:mapping:continuant-occurrent:005	DOLCE:endurant	skos:closeMatch	UFO:endurant	semapv:ManualMappingCuration	1.0	high	close-match	candidate	"**Corrected (2026-07-06, full-corpus audit)** from `exact-equivalence-candidate` (itself raised 2026-07-01 from `medium`): both primary sources are directly verified and their endurant definitions are near-verbatim (""wholly present... at any time they are present"" vs. ""individuals that exist in time with all their parts"") — UFO's endurant/perdurant split directly continues DOLCE's, confirmed rather than merely asserted. But `note-002` documents that DOLCE's split is motivated by an explicit cognitive-bias disclaimer (""we do not commit to the fact that both these kinds of entity really exist""), while UFO's is grounded in a four-category ontology merged from Bunge-Wand-Weber conceptual-modeling work — a different philosophical lineage, the same kind of divergence `mapping-001`/`mapping-003` already use to withhold `exact-equivalence-candidate` for BFO-DOLCE and BFO-UFO. Applying that same standard consistently: `close-match`, not `exact-equivalence-candidate`, for this pair too. `high` confidence in `close-match`: both the near-verbatim wording and the philosophical divergence are directly evidenced, not open questions."	xwkont:ref:dolce-wonderweb-d18, xwkont:ref:ufo-2021
xwkont:mapping:continuant-occurrent:006	BFO:continuant		SUMO:Object	semapv:ManualMappingCuration	0.2	low	unknown	candidate	Structural analog only: SUMO's Object sits under a physicality partition, not a temporal-persistence one. Whether SUMO:Object behaves like a continuant/endurant in practice is not confirmed by Niles & Pease (2001) alone.	xwkont:ref:sumo-niles-pease-2001
xwkont:mapping:continuant-occurrent:007	BFO:occurrent		SUMO:Process	semapv:ManualMappingCuration	0.2	low	unknown	candidate	Same rationale as mapping-006.	xwkont:ref:sumo-niles-pease-2001
xwkont:mapping:continuant-occurrent:008	BFO:continuant	skos:closeMatch	GFO:Presential	semapv:ManualMappingCuration	0.6	medium	close-match	candidate	"Both defined by a temporal-presence criterion (BFO: wholly present at each time it exists; GFO: ""exists wholly at exactly one time boundary""), but GFO's Presential is defined over discrete time-boundaries specifically, a narrower formal commitment than BFO's continuant. Medium rather than high pending a closer read of GFO's time-boundary/chronoid theory."	xwkont:ref:bfo-2020, xwkont:ref:gfo
xwkont:mapping:continuant-occurrent:009	BFO:occurrent	skos:closeMatch	GFO:Occurrent	semapv:ManualMappingCuration	1.0	high	close-match	candidate	"Both sources use the identical term ""occurrent"" with matching temporal-extension criteria (BFO: ""unfolds itself in time""; GFO: ""have temporal parts... happen in time""). Highest-confidence mapping among the four new sources' correspondences, on par with the BFO/DOLCE/UFO occurrent mappings."	xwkont:ref:bfo-2020, xwkont:ref:gfo
xwkont:mapping:continuant-occurrent:010	BFO:continuant	skos:closeMatch	YAMATO:Continuant(Object)	semapv:ManualMappingCuration	1.0	high	close-match	candidate	"YAMATO uses ""Continuant"" as its own top-level label with an explicitly stated 3D/persistence orientation, the closest terminological and conceptual match to BFO of any `ADR-0015` source. Not `exact-equivalence-candidate` because YAMATO explicitly treats continuant and occurrent as mutually dependent rather than either being ontologically prior — a stated philosophical difference from BFO's framing."	xwkont:ref:bfo-2020, xwkont:ref:yamato-mizoguchi-2010
xwkont:mapping:continuant-occurrent:011	BFO:occurrent	skos:closeMatch	YAMATO:Occurrent(Process)	semapv:ManualMappingCuration	1.0	high	close-match	candidate	Same rationale as mapping-010, inverse pairing. YAMATO additionally distinguishes process (can change) from event (cannot) within occurrent, a finer-grained split than BFO makes explicitly at this level — noted, not resolved, per `uncertainty-003`.	xwkont:ref:bfo-2020, xwkont:ref:yamato-mizoguchi-2010
xwkont:mapping:continuant-occurrent:012	BFO:continuant		TUpper:object	semapv:ManualMappingCuration	0.2	low	unknown	candidate	Structural analog only, same rationale as SUMO's Object mapping (mapping-006): TUpper's `object` is defined negatively (by exclusion of timepoint/activity/activity-occurrence) rather than by a positive temporal-persistence criterion, so equivalence to BFO's continuant is not established by the definition text alone.	xwkont:ref:tupper-colore
xwkont:mapping:continuant-occurrent:013	BFO:occurrent		TUpper:activity_occurrence	semapv:ManualMappingCuration	0.2	low	unknown	candidate	Same rationale as mapping-012. `activity_occurrence` is tied to a specific `activity` via `occurrence_of`, a PSL-derived structure not obviously equivalent to BFO's broader occurrent (which also covers temporal/spatiotemporal regions).	xwkont:ref:tupper-colore
xwkont:mapping:continuant-occurrent:014	BFO:continuant		GUM:SimpleThing	semapv:ManualMappingCuration	0.2	low	unknown	candidate	"Structural analog only, same rationale as SUMO's Object mapping (mapping-006): GUM's SimpleThing/Process split is linguistically motivated (participant vs. verb-realized ""goings-on""), not a temporal-persistence criterion."	xwkont:ref:gum-owl
xwkont:mapping:continuant-occurrent:015	BFO:occurrent		GUM:Process	semapv:ManualMappingCuration	0.2	low	unknown	candidate	Same rationale as mapping-014.	xwkont:ref:gum-owl
