mapping_id	subject_id	predicate_id	object_id	mapping_justification	confidence	xwkont_confidence_category	xwkont_relation_category	xwkont_status	comment	xwkont_provenance
xwkont:mapping:quality:001	BFO:Quality	skos:closeMatch	DOLCE:Quality	semapv:ManualMappingCuration	1.0	high	close-match	candidate	Both are dependent particulars (tropes) inhering in/dependent on a bearer, fully manifested whenever they exist. Not `exact-equivalence-candidate` because DOLCE additionally formalizes the Quale layer, which BFO's definition (as found in this pass) does not mirror explicitly.	xwkont:ref:bfo-2020, xwkont:ref:dolce-wonderweb-d18
xwkont:mapping:quality:002	BFO:Quality	skos:closeMatch	UFO:Quality	semapv:ManualMappingCuration	1.0	high	close-match	candidate	Same trope-theoretic convergence as mapping-001; UFO's Quality additionally nests under the broader Moment category and the value-space criterion.	xwkont:ref:bfo-2020, xwkont:ref:ufo-2021
xwkont:mapping:quality:003	DOLCE:Quality	skos:exactMatch	UFO:Quality	semapv:ManualMappingCuration	1.0	high	exact-equivalence-candidate	candidate	"**Raised 2026-07-01** from medium: both pair a particular property instance with a value/space notion (Quale / value space, UFO even using the identical term ""quale"") — the closest structural match found in this crosswalk, and now confirmed to share a theoretical origin (`note-002`): both sources independently cite Gärdenfors' conceptual-spaces theory."	xwkont:ref:dolce-wonderweb-d18, xwkont:ref:ufo-2021
xwkont:mapping:quality:004	BFO:Quality		SUMO:Attribute	semapv:ManualMappingCuration	1.0	high	explicit-non-equivalence	candidate	Explicitly not equivalent: BFO's Quality is a particular dependent on a bearer; SUMO's Attribute is an abstract entity. This is a confirmed metaphysical divergence, not an unresolved uncertainty — high confidence in the *non*-equivalence itself.	xwkont:ref:bfo-2020, xwkont:ref:sumo-niles-pease-2001
xwkont:mapping:quality:005	DOLCE:Quality		SUMO:Attribute	semapv:ManualMappingCuration	1.0	high	explicit-non-equivalence	candidate	Same rationale as mapping-004.	xwkont:ref:dolce-wonderweb-d18, xwkont:ref:sumo-niles-pease-2001
xwkont:mapping:quality:006	BFO:Quality	skos:closeMatch	GFO:Property	semapv:ManualMappingCuration	1.0	high	close-match	candidate	Same trope-theoretic convergence as `mapping-001`/`mapping-002`: both are dependent particulars inhering in/dependent on a bearer, joining the same camp as BFO/DOLCE/UFO rather than SUMO's abstracta.	xwkont:ref:bfo-2020, xwkont:ref:gfo
xwkont:mapping:quality:007	DOLCE:Quality	skos:closeMatch	GFO:Property	semapv:ManualMappingCuration	1.0	high	close-match	candidate	Same trope-theoretic convergence; additionally, GFO's own `Value_space` explicitly cites DOLCE (Masolo, 2003) by name for the value-space/quality-space parallel (`note-005`), strengthening this beyond an editorial observation alone.	xwkont:ref:dolce-wonderweb-d18, xwkont:ref:gfo
xwkont:mapping:quality:008	GFO:Property		SUMO:Attribute	semapv:ManualMappingCuration	1.0	high	explicit-non-equivalence	candidate	Same rationale as `mapping-004`/`mapping-005`: GFO's `Property` is a `Concrete`, `Dependent` individual (a particular), while SUMO's `Attribute` is an abstract entity — the same confirmed metaphysical divergence extended to a fourth source.	xwkont:ref:gfo, xwkont:ref:sumo-niles-pease-2001
xwkont:mapping:quality:009	BFO:Quality	skos:closeMatch	YAMATO:Quality	semapv:ManualMappingCuration	0.8	medium-high	close-match	candidate	"Both are dependent particulars tied to an individual entity (""a certain dependent property possessed by an entity""). `medium-high`, not `high`, specifically because YAMATO's own OWL/Hozo files are not fetched (quotation-only citation) — a genuine sourcing-completeness gap, not because of the elaboration difference alone: YAMATO's four-tier apparatus (generic type/role type/quality/instance) is more elaborated than BFO's single Quality class, but that structural fact is confidently known, not itself an open question."	xwkont:ref:bfo-2020, xwkont:ref:yamato-mizoguchi-2010
xwkont:mapping:quality:010	DOLCE:Quality	skos:closeMatch	YAMATO:Quality	semapv:ManualMappingCuration	1.0	high	close-match	candidate	Structurally the closest pairing among the new sources: both split a particular quality from its value/realization (DOLCE: Quality/Quale; YAMATO: Quality/Quality instance), and YAMATO's own text explicitly engages DOLCE's quality-space concept by name (`note-005`) rather than this crosswalk drawing the comparison unassisted. YAMATO explicitly argues DOLCE's coverage is incomplete — a disclosed point of disagreement, not a clean equivalence, but a confidently and directly quoted one (YAMATO's own critique), not an open sourcing question, so it does not itself justify a hedged confidence value.	xwkont:ref:dolce-wonderweb-d18, xwkont:ref:yamato-mizoguchi-2010
xwkont:mapping:quality:011	xwkont-core:Quality		TUpper	semapv:ManualMappingCuration	0.2	low	unknown	candidate	No TUpper correspondence identified; TUpper reifies no Quality/Attribute/Property class, only direct measurement relations (`mass`, `length`, etc.) from object to value — a third modeling style, neither trope nor abstracta (`note-004`). Recorded explicitly rather than silently omitted, per this crosswalk's established practice for negative findings.	xwkont:ref:tupper-colore
xwkont:mapping:quality:012	BFO:Quality	skos:closeMatch	GUM:SimpleQuality	semapv:ManualMappingCuration	0.6	medium	close-match	candidate	"The only new source with a class literally named ""Quality"" (via subclass naming), but GUM's criterion is linguistic (adjectival realizability) rather than metaphysical inherence — a terminological match without a matching definitional criterion, the same pattern already found for GUM's Process in `process.md`."	xwkont:ref:bfo-2020, xwkont:ref:gum-owl
