mapping_id	subject_id	predicate_id	object_id	mapping_justification	confidence	xwkont_confidence_category	xwkont_relation_category	xwkont_status	comment	xwkont_provenance
xwkont:mapping:event:001	DOLCE:Event	skos:closeMatch	UFO:Event	semapv:ManualMappingCuration	1.0	high	close-match	candidate	Both are explicit, named top-level Event categories, both now directly verified; UFO continues DOLCE's lineage (per `continuant-occurrent.md` mapping-004). Not `exact-equivalence-candidate` because UFO's event theory (mereology, causation, modal fragility) is more elaborated than DOLCE's Achievement/Accomplishment split.	xwkont:ref:dolce-wonderweb-d18, xwkont:ref:ufo-2021
xwkont:mapping:event:002	BFO:Process		DOLCE:Event	semapv:ManualMappingCuration	0.2	low	unknown	candidate	Structural mismatch: BFO's Process is temporally extended and sits opposite Process Boundary, not opposite a Stative/Event split. Whether BFO:Process better corresponds to DOLCE:Stative or DOLCE:Event (or neither cleanly) is unresolved.	xwkont:ref:bfo-2020, xwkont:ref:dolce-wonderweb-d18
xwkont:mapping:event:003	BFO:Process Boundary	skos:closeMatch	DOLCE:Achievement	semapv:ManualMappingCuration	0.6	medium	close-match	candidate	Both isolate an atomic/instantaneous occurrent, per `note-002`, now on verified primary-source definitions for both sides — but from structurally different hierarchies and not confirmed by a source making this comparison explicitly, so confidence is not raised past medium.	xwkont:ref:bfo-2020, xwkont:ref:dolce-wonderweb-d18
xwkont:mapping:event:004	UFO:Event		SUMO:IntentionalProcess/LifeEvent	semapv:ManualMappingCuration	0.2	low	unknown	candidate	SUMO nests this inside Process rather than treating it as a parallel category; correspondence is exploratory only.	xwkont:ref:ufo-2021, xwkont:ref:sumo-niles-pease-2001
xwkont:mapping:event:005	GFO:Instantaneous_change	skos:closeMatch	DOLCE:Achievement	semapv:ManualMappingCuration	0.6	medium	close-match	candidate	"Both isolate an atomic/instantaneous occurrent (per `note-005`, extending `note-002`) — GFO's own text glosses this technical sense as ""instantaneous event."" Structurally different hierarchies (GFO: subtype of `Change`; DOLCE: subtype of `Event`), and no source draws this comparison itself, so capped at medium like `event-003`."	xwkont:ref:gfo, xwkont:ref:dolce-wonderweb-d18
xwkont:mapping:event:006	GFO:Instantaneous_change	skos:closeMatch	BFO:Process Boundary	semapv:ManualMappingCuration	0.6	medium	close-match	candidate	Same atomic/instantaneous convergence as `event-005`, now against BFO's own Process Boundary sibling class — a three-way convergence per `note-005`.	xwkont:ref:gfo, xwkont:ref:bfo-2020
xwkont:mapping:event:007	YAMATO:Event	skos:closeMatch	DOLCE:Event	semapv:ManualMappingCuration	0.8	medium-high	close-match	candidate	"Both give a positive, named process/event distinction rather than treating ""event"" as a synonym or umbrella term — YAMATO's ""events are made of processes... processes can change, events cannot"" parallels DOLCE's cumulative/non-cumulative criterion. `medium-high`, not `high`, specifically because this is a sourcing-completeness gap, not a confirmed substantive divergence: YAMATO's own OWL/Hozo files are not fetched (quotation-only citation), so the two criteria have not been directly verified class-for-class against a formal definition on YAMATO's side."	xwkont:ref:yamato-mizoguchi-2010, xwkont:ref:dolce-wonderweb-d18
xwkont:mapping:event:008	YAMATO:Event	skos:closeMatch	UFO:Event	semapv:ManualMappingCuration	0.8	medium-high	close-match	candidate	"YAMATO's ""events... cannot change"" criterion echoes UFO's characterization of events as ""modally fragile entities"" that ""cannot genuinely change... while maintaining their numerical identity"" — a substantive terminological and conceptual convergence between two independently-authored sources, not just a shared label. `medium-high`, not `high`, for the same sourcing-completeness reason as `mapping-007`: YAMATO's own OWL/Hozo files are not fetched (quotation-only citation), so this remains unverified against a formal YAMATO definition."	xwkont:ref:yamato-mizoguchi-2010, xwkont:ref:ufo-2021
xwkont:mapping:event:009	TUpper:activity_occurrence		Event (general)	semapv:ManualMappingCuration	0.2	low	unknown	candidate	Structural analog only: `activity_occurrence` is a token/particular occurrence of an `activity` type (explicitly not an instance-of relation, per the source's own NOTE), a different axis than the Process/Event category split found in DOLCE/UFO/YAMATO. Consistent with `object.md`'s TUpper precedent of `unknown`/low confidence.	xwkont:ref:tupper-colore
xwkont:mapping:event:010	GUM:Process		Event (general)	semapv:ManualMappingCuration	0.2	low	unknown	candidate	"GUM's own definition text uses the word ""events,"" but only as an informal gloss on its general `Process` class (which also covers non-event ""goings-on"" more broadly) — an umbrella pattern like BFO/SUMO's rather than a named Event category, per `note-004`."	xwkont:ref:gum-owl
xwkont:mapping:event:011	GUM:Configuration		Event (general)	semapv:ManualMappingCuration	0.4	low-medium	related	candidate	"**Added 2026-07-07**, checking `symbol-sign-representation.yaml`'s own Future Work item on GUM's `NameEvent` (`docs/crosswalks/candidate-concepts.md`'s `GUM.102` row tags it ""Event""). Fetched `GUM-31.owl.txt` fresh: `NameEvent` (""the process of giving something a name"") is `rdfs:subClassOf DispositiveMaterialAction` and `External`, which trace up through `AffectingAction` → `DoingAndHappening` → `Configuration` — **not** `Process`, this crosswalk's existing GUM correspondence (`mapping-010`). `Configuration` itself requires exactly one `processInConfiguration` (a `Process`) plus (per `Process`'s own comment) factors in Participants and Circumstances that `Process` alone factors out — i.e. `Configuration` is GUM's whole-clause, event-with-participants category, while `Process` is the narrower verbal/predicate element inside it. This makes `Configuration` arguably the closer structural analog to a BFO/DOLCE-style Event (a happening with participants), not a duplicate of the already-cited `Process` correspondence. `related`, not `close-match`: this is this crosswalk's own structural observation about GUM's internal architecture, not a comparison GUM's own text draws to any other source's Event/Process split, and the Process/Configuration relationship itself is not yet fully worked through (see `uncertainty-007`)."	xwkont:ref:gum-owl
