mapping_id	subject_id	predicate_id	object_id	mapping_justification	confidence	xwkont_confidence_category	xwkont_relation_category	xwkont_status	comment	xwkont_provenance
xwkont:mapping:role:001	DOLCE-driven:Role (Masolo et al. 2004, not core DOLCE)	skos:closeMatch	UFO:Role	semapv:ManualMappingCuration	1.0	high	close-match	candidate	Corrected (2026-07-06, full-corpus audit) from `exact-equivalence-candidate`: both are anti-rigid, foundation/dependence-grounded, relationally-conditioned types; UFO explicitly continues this OntoClean-adjacent lineage, and the informal characterization matches unusually closely. But the two frameworks still differ in formal apparatus (DOLCE-driven: `CF`-classification of a `Concept`; UFO: anti-rigid sortal specializing a Kind) — the same kind of divergence `mapping-002`/`mapping-003` already use to withhold `exact-equivalence-candidate` for BFO against these same two sources. Applying that standard consistently: `close-match`, not `exact-equivalence-candidate`. `high` confidence in `close-match`, higher than `mapping-002`/`003`'s `medium`: both sources are independently fetched and directly verified (2026-07-01), and the informal-level convergence here is textually closer than either BFO comparison — a confidently-established, not open, finding.	xwkont:ref:masolo-vieu-2004, xwkont:ref:ufo-2021
xwkont:mapping:role:002	BFO:Role	skos:closeMatch	DOLCE-driven:Role	semapv:ManualMappingCuration	0.6	medium	close-match	candidate	Both are dependent, context-grounded, non-defining characterizations of a bearer. Not `exact-equivalence-candidate` because BFO's structural definition and the anti-rigidity/foundation meta-property definition are formally different apparatus (`note-002`), and the object here is extension literature, not core DOLCE (now independently verified against `xwkont:ref:masolo-vieu-2004`, though this does not change the formal-apparatus divergence).	xwkont:ref:bfo-2020, xwkont:ref:masolo-vieu-2004
xwkont:mapping:role:003	BFO:Role	skos:closeMatch	UFO:Role	semapv:ManualMappingCuration	0.6	medium	close-match	candidate	Same rationale as mapping-002.	xwkont:ref:bfo-2020, xwkont:ref:ufo-2021
xwkont:mapping:role:004	BFO:Role		SUMO:SocialRole	semapv:ManualMappingCuration	1.0	high	explicit-non-equivalence	candidate	Same confirmed metaphysical divergence as `quality.md` mapping-004: BFO's Role is a realizable entity dependent on a bearer; SUMO's SocialRole is an abstract entity.	xwkont:ref:bfo-2020, xwkont:ref:sumo-niles-pease-2001
xwkont:mapping:role:005	DOLCE-driven:Role		SUMO:SocialRole	semapv:ManualMappingCuration	1.0	high	explicit-non-equivalence	candidate	Same rationale as mapping-004.	xwkont:ref:masolo-vieu-2004, xwkont:ref:sumo-niles-pease-2001
xwkont:mapping:role:006	UFO:Role (+ Relator)	skos:closeMatch	GFO:Relational_role	semapv:ManualMappingCuration	0.8	medium-high	close-match	candidate	"Both are `Dependent` roles specifically grounded in a Relator/relator-like mediator (`role_of` some `Relator` in GFO; UFO's Role held ""in the scope of"" a Relator), directly paralleling `relation.md`'s GFO/UFO Relator convergence at the Role-specific level (`note-005`). `medium-high`, not `high`, for a genuine sourcing-completeness reason: GFO's own file supplies `Relational_role` with only structural axioms, no prose theory to compare against UFO's elaborated account — a documentation gap in the primary source, not a confirmed substantive divergence."	xwkont:ref:gfo, xwkont:ref:ufo-2021
xwkont:mapping:role:007	BFO:Role		GFO:Social_role	semapv:ManualMappingCuration	1.0	high	explicit-non-equivalence	candidate	A confirmed metaphysical divergence within the trope/dependent-particular camp itself, not just against SUMO: BFO's Role is a dependent Realizable Entity, while GFO's `Social_role` is explicitly `Independent` (`owl:disjointWith` `Dependent`) — the only source in this crosswalk to treat any role subtype as independent of a bearer (`note-005`).	xwkont:ref:bfo-2020, xwkont:ref:gfo
xwkont:mapping:role:008	BFO:Role	skos:closeMatch	YAMATO:Role	semapv:ManualMappingCuration	0.8	medium-high	close-match	candidate	"Both are context-dependent, non-abstract role treatments illustrated with directly comparable examples (BFO: ""student role... university""; YAMATO: ""teacher role... school"") (`note-006`). Not `high` because YAMATO's own text discloses its role theory is not fully elaborated in this paper — deferred to Mizoguchi (2007), not independently fetched."	xwkont:ref:bfo-2020, xwkont:ref:yamato-mizoguchi-2010
xwkont:mapping:role:009	xwkont-core:Role		TUpper	semapv:ManualMappingCuration	0.2	low	unknown	candidate	"No TUpper correspondence identified; ""role"" appears only informally inside `participates_in`'s prose gloss, never reified as a class — consistent with `quality.md`'s and `relation.md`'s TUpper findings across this entire dependent-particular family."	xwkont:ref:tupper-colore
xwkont:mapping:role:010	xwkont-core:Role		GUM:RolePlaying	semapv:ManualMappingCuration	0.2	low	unknown	candidate	GUM's `RolePlaying` is a relation type (subclass of `Symbolization`), not an object/entity type — the same pattern already found for GUM's Information-Artifact and Relation analogs (`note-007`). Not confidently placed in any existing category.	xwkont:ref:gum-owl
