mapping_id	subject_id	predicate_id	object_id	mapping_justification	confidence	xwkont_confidence_category	xwkont_relation_category	xwkont_status	comment	xwkont_provenance
xwkont:mapping:time:001	BFO:Temporal region		DOLCE:Temporal-region	semapv:ManualMappingCuration	1.0	high	overlap	candidate	Same subject matter (temporal extent) but a genuine top-level classification divergence: BFO subsumes it under Occurrent; DOLCE files it as an abstract quality-space region, neither endurant nor perdurant. Not `close-match` because the classification difference is structural, not incidental.	xwkont:ref:bfo-2020, xwkont:ref:dolce-lite-owl
xwkont:mapping:time:002	BFO:Temporal region		SUMO:TimeMeasure	semapv:ManualMappingCuration	1.0	high	overlap	candidate	Same divergence pattern as `mapping-001`: BFO=occurrent, SUMO=abstract quantity, disjoint from SUMO's own occurrent-like `Physical`/`Process` side.	xwkont:ref:bfo-2020, xwkont:ref:sumo-niles-pease-2001
xwkont:mapping:time:003	BFO:Temporal region		GFO:Space_time	semapv:ManualMappingCuration	1.0	high	overlap	candidate	Same divergence pattern: BFO=occurrent; GFO explicitly declares its Time branch sui generis and disjoint from both Presential and Occurrent.	xwkont:ref:bfo-2020, xwkont:ref:gfo
xwkont:mapping:time:004	BFO:Temporal instant	skos:closeMatch	TUpper:Timepoint	semapv:ManualMappingCuration	0.8	medium-high	close-match	candidate	Both denote an instant-like, extensionless point in a linear temporal order. Not `high` because TUpper's `timepoint` is its only temporal class (no interval/duration counterpart), a narrower overall scope than BFO's full temporal-region hierarchy — a sourcing/scope-driven gap, not a substantive disagreement about what an instant is.	xwkont:ref:bfo-2020, xwkont:ref:tupper-colore
xwkont:mapping:time:005	BFO:Temporal region		GUM:Time	semapv:ManualMappingCuration	0.6	medium	overlap	candidate	Same classification-divergence pattern as `mapping-001`–`003`, compounded by GUM's linguistic (not metaphysical) grounding criterion — the weakest structural alignment of the Occurrent-vs-independent-category comparisons, hence `medium` not `high`.	xwkont:ref:bfo-2020, xwkont:ref:gum-owl
xwkont:mapping:time:006	DOLCE:Temporal-region		SUMO:TimeMeasure	semapv:ManualMappingCuration	0.6	medium	overlap	candidate	"**Downgraded from `close-match` (2026-07-04 review pass)** — both classify Time as independent of their occurrent-equivalent category (DOLCE: region; SUMO: abstract quantity), closer to each other than either is to BFO's occurrent classification, but ""region"" and ""abstract quantity"" are different formal kinds, not merely differing scope/axioms within the same kind (contrast `mapping-007`, where both sides are region-denoting categories). `close-match` per `docs/methodology/crosswalk-methodology.md` is for concepts ""similar enough to align for many purposes but differ in scope, axioms, usage, or context"" — a difference in formal kind is a stronger divergence than that, so `overlap` (""partially intersect but neither subsumes the other"") is the better fit."	xwkont:ref:dolce-lite-owl, xwkont:ref:sumo-niles-pease-2001
xwkont:mapping:time:007	DOLCE:Temporal-region	skos:closeMatch	GFO:Temporal_region	semapv:ManualMappingCuration	1.0	high	close-match	candidate	Both are non-occurrent, region-denoting categories with near-identical naming (`temporal-region`/`Temporal_region`) and near-identical gloss (region/mereological-sum-of-time framing). The closest structural pairing found in this crosswalk.	xwkont:ref:dolce-lite-owl, xwkont:ref:gfo
xwkont:mapping:time:008	GFO:Temporal_region		GUM:TemporalObject	semapv:ManualMappingCuration	0.4	low-medium	overlap	candidate	"**Downgraded from `close-match` (2026-07-04 review pass)** — both are independent, sui-generis-flavored top-level categories not subsumed under either occurrent-like or continuant-like classes, but GFO's grounding is metaphysical (Brentano/Allen & Hayes) while GUM's is linguistic (Halliday & Matthiessen) — a difference in the *kind* of independence claimed, not just scope or axioms within a shared formal kind. `overlap` (""partially intersect but neither subsumes the other,"" per `docs/methodology/crosswalk-methodology.md`) better reflects that than `close-match`."	xwkont:ref:gfo, xwkont:ref:gum-owl
xwkont:mapping:time:009	SUMO:TimeMeasure	skos:relatedMatch	GUM:Time	semapv:ManualMappingCuration	0.4	low-medium	related	candidate	Both treat time as a measured/graded quantity-like thing rather than an occurrent, but SUMO's framing is a universal-timeline quantity while GUM's is a clause-level aspectual category — related in spirit, not close enough in formal apparatus for `close-match`.	xwkont:ref:sumo-niles-pease-2001, xwkont:ref:gum-owl
xwkont:mapping:time:010	xwkont-core:Time (candidate)		UFO	semapv:ManualMappingCuration	0.2	low	unknown	candidate	"No UFO correspondence identified; UFO's only temporal content is Perdurant's own ""unfold in time"" property, not a reified Time class. Recorded explicitly rather than silently omitted, per this repository's established practice for negative findings (e.g. `quality.md`'s TUpper mapping)."	xwkont:ref:ufo-2021
xwkont:mapping:time:011	xwkont-core:Time (candidate)		YAMATO	semapv:ManualMappingCuration	0.2	low	unknown	candidate	No YAMATO correspondence identified in the one fetchable YAMATO document; scoped absence, not a settled claim (OWL/Hozo files remain registration-gated, 2022 paper remains blocked).	xwkont:ref:yamato-mizoguchi-2010
