mapping_id	subject_id	predicate_id	object_id	mapping_justification	confidence	xwkont_confidence_category	xwkont_relation_category	xwkont_status	comment	xwkont_provenance
xwkont:mapping:mind-conscious-being-agent:001	SUMO:AutonomousAgent	skos:closeMatch	xwkont-core:MindConsciousBeingAgent	semapv:ManualMappingCuration	0.8	medium-high	close-match	candidate	"`AutonomousAgent` is SUMO's direct, explicitly-defined bearer class for ""something or someone that can act on its own and produce changes in the world,"" refined into sentient/cognitive/AI-agent subtypes. Confirmed `(subclass AutonomousAgent Object)` in `Merge.kif` -- SUMO models this at the object layer, same pattern as DOLCE and YAMATO."	xwkont:ref:sumo-niles-pease-2001
xwkont:mapping:mind-conscious-being-agent:002	GUM:ConsciousBeing	skos:closeMatch	xwkont-core:MindConsciousBeingAgent	semapv:ManualMappingCuration	0.8	medium-high	close-match	candidate	"GUM's own comment defines `ConsciousBeing` as ""an active entity capable of producing information that may be ascribed consciousness; e.g. a person"" -- the clearest direct anchor for this candidate among all eight sources, verified verbatim against the fetched `GUM-31.owl.txt`."	xwkont:ref:gum-owl
xwkont:mapping:mind-conscious-being-agent:003	YAMATO:weak agent		xwkont-core:MindConsciousBeingAgent	semapv:ManualMappingCuration	0.6	medium	overlap	candidate	Confirmed directly from Fig. 2's diagram (not extractable as text -- verified by rendering the page as an image): `weak agent` is a direct child of `continuant > object`, alongside `morphological whole`, sibling to the `functional` branch (`living organism`, `artifact`). It is a real object-side agentive label, but the paper's own body text never elaborates it beyond the figure, so `overlap` rather than `close-match`.	xwkont:ref:yamato-mizoguchi-2010
xwkont:mapping:mind-conscious-being-agent:004	DOLCE:Agentive Physical Object / Social Agent		xwkont-core:MindConsciousBeingAgent	semapv:ManualMappingCuration	0.6	medium	overlap	candidate	"D18 section 3.4.2 confirmed verbatim: ""a special place have those to which we ascribe intentions, beliefs, and desires. These are called Agentive"" (physical layer), plus a separate Social Agent layer including legal persons and contractants (Table 1: ""a (legal) person, a contractant""). Agentivity is explicitly modeled but split across the object/social-object layers rather than reified as one bearer class, so `overlap` rather than `close-match`."	xwkont:ref:dolce-wonderweb-d18
xwkont:mapping:mind-conscious-being-agent:005	GUM:Person	skos:relatedMatch	xwkont-core:MindConsciousBeingAgent	semapv:ManualMappingCuration	1.0	high	related	candidate	"Confirmed verbatim: ""A type of conscious being pronominalizeable by `she`, `he`, etc. rather than by `it`."" A genuine conscious-being subtype, but peripheral to the core scope, not a peer anchor."	xwkont:ref:gum-owl
xwkont:mapping:mind-conscious-being-agent:006	GUM:Female / Male		xwkont-core:MindConsciousBeingAgent	semapv:ManualMappingCuration	1.0	high	explicit-non-equivalence	candidate	"Confirmed verbatim: both are subclasses of `Person` defined only ""for, e.g., pronominalization purposes."" Pronominalization refinements, not core bearer-class content -- equivalence should not be asserted at the concept level."	xwkont:ref:gum-owl
xwkont:mapping:mind-conscious-being-agent:007	GUM:Believe / Cognition / Know / Perception / Think / Wanting / MentalActive / MentalInactive / Disliking / Fearing / Liking / ReactionAndEmotion / Striving		xwkont-core:MindConsciousBeingAgent	semapv:ManualMappingCuration	1.0	high	explicit-non-equivalence	candidate	"Confirmed verbatim for every term: each is commented as a ""mental process"" or ""mental reaction"" (e.g. `Think`: ""The mental process of thinking""; `ReactionAndEmotion`: ""An inactive mental process...""), all descending from `Internal` (a process branch), not from any bearer/entity class. These belong with `process.md`/`event.md`, not here."	xwkont:ref:gum-owl
xwkont:mapping:mind-conscious-being-agent:008	YAMATO:mind		xwkont-core:MindConsciousBeingAgent	semapv:ManualMappingCuration	1.0	high	explicit-non-equivalence	candidate	"Confirmed directly from Fig. 2's diagram: `mind` is a direct child of `semi-abstract` (sibling to `content` and `representation`), not of `continuant`/`object`. YAMATO's own text defines semi-abstract things as needing ""only time to exist"" -- the opposite ontological commitment from a bearer/agent class."	xwkont:ref:yamato-mizoguchi-2010
xwkont:mapping:mind-conscious-being-agent:009	xwkont-core:MindConsciousBeingAgent		BFO	semapv:ManualMappingCuration	0.2	low	unknown	candidate	No agent/mind/conscious-being term of any kind found in `bfo-core.ttl` (direct grep against the fetched file, 2026-07-06).	xwkont:ref:bfo-2020
xwkont:mapping:mind-conscious-being-agent:010	xwkont-core:MindConsciousBeingAgent		UFO	semapv:ManualMappingCuration	0.2	low	unknown	candidate	"The 2021 paper does not introduce a dedicated Agent/Mind/ConsciousBeing class -- confirmed by a full-text search of the freshly re-extracted paper, which finds ""agent"" only inside an unrelated bibliography title. `Person` does appear repeatedly as `ObjectKind(Person)` in the paper's own worked OntoUML examples (Teacher/Student, Jogger, Walker, Spouse), but per this repository's established precedent for this same source (`process.md`'s ""Jogging Process"" finding), a worked example instantiation is not the same as a formally introduced core-theory class -- so this stays `unknown` rather than becoming a positive correspondence."	xwkont:ref:ufo-2021
